Remark,Food name,Weight,Edible,Energy,Protein,Fat,CHO,Dietary fiber,Ash,Cholesterol,Vitamin A,Retinol,Vitamin E,Vitamin C,Vitamin B1 (thaimin),Vitamin B2 (riboflavin),Vitamin B3 (niacin),Calcium,Phosphorous,Potassium,Sodium,Magnesium,Iron,Zinc,Selenium,Copper,Manganese
肉类,猪血,100,100,55,12.2,0.3,0.9,,0.8,51,,,0.2,,0.03,0.04,0.3,4,16,56,56,5,8.7,0.28,7.94,0.1,0.03
肉类,猪肉松,100,100,396,23.4,11.5,49.7,,6,111,,44,10.02,,0.04,0.13,3.3,41,162,313,469,55,6.4,4.28,8.77,0.13,0.6
肉类,牛肉（均值）,100,99,125,19.9,4.2,2,,1.1,84,,7,0.65,,0.04,0.14,5.6,23,168,216,84.2,20,3.3,4.73,6.45,0.18,0.04
肉类,牛后腿肉,100,100,106,20.9,2,1.1,,1.1,74,,3,0.97,,0.04,0.14,6.1,5,210,197,45.4,21,3.3,4.07,4.96,0.11,0.02
肉类,牛里脊,100,100,107,22.2,0.9,2.4,,1.3,63,,4,0.65,,0.05,0.15,5.6,23,168,216,84.2,20,3.3,4.73,6.45,0.18,0.04
肉类,牛肚,100,100,72,14.5,1.6,,,0.6,104,,2,0.51,,0.03,0.13,2.5,40,104,162,60.6,17,1.8,2.31,9.07,0.07,0.21
肉类,牛肺,100,100,95,16.5,2.5,1.5,,0.9,306,,12,0.34,13,0.04,0.21,3.4,8,269,197,154.8,14,11.7,2.67,13.61,0.22,0.16
肉类,牛肝,100,100,139,19.8,3.9,6.2,,1.4,297,,20220,0.13,9,0.16,1.3,11.9,4,252,185,45,22,6.6,5.01,11.99,1.34,0.37
肉类,牛肾,100,89,94,15.6,2.4,2.6,,1.1,295,,88,0.19,,0.24,0.85,7.7,8,214,190,180.8,13,9.4,2.17,70.25,0.16,0.06
肉类,牛心,100,100,106,15.4,3.5,3.1,,0.8,115,,17,0.19,5,0.26,0.39,6.8,4,178,282,47.9,25,5.9,2.41,14.8,0.37,0.06
肉类,牛背部肉/上脑04,100,100,193,17.4,12.4,3,,0.8,56,,,0.17,,0.04,0.08,2.28,,,,,,0.7,4.65,1.84,0.01,
肉类,牛里脊04,100,100,134,22.3,5,,,1.1,44,,,,,0.04,0.1,6.24,3,241,140,75.1,29,0.4,4.73,3.57,0.01,
肉类,牛臀肉04,100,100,117,22.6,2.6,0.9,,1.1,22,,,,,0.05,0.09,4.86,2,159,325,40.2,22,1.4,5.48,3.63,0.01,
肉类,牛肩肉04,100,100,342,14.1,31.7,,,0.9,51,,,0.19,,0.02,0.06,1.66,,,,,,0.5,2.59,2.32,0.01,
肉类,牛胸肉04,100,100,326,16.6,28.8,,,0.8,56,,,0.23,,0.02,0.09,1.9,,,,,,0.7,4.55,1.75,0.01,
肉类,牛腩04,100,100,332,17.1,29.3,,,1,44,,,,,0.02,0.06,2.2,,,,,,0.6,2.69,3.2,0.01,
肉类,米龙/黄瓜条04,100,100,119,22.8,2.9,,,1.4,,,,,,0.04,0.08,4.82,2,141,275,37.8,20,1,4.81,2.98,0.01,0.02
肉类,牛腱肉04,100,100,122,23,3.3,,,1,61,,,,,0.03,0.13,3.69,5,181,182,83.1,22,0.3,5.07,2.54,0.01,
肉类,羊肉（均值）,100,90,203,19,14.1,,,1.2,92,,22,0.26,,0.05,0.14,4.5,6,146,232,80.6,20,2.3,3.22,32.2,0.75,0.02
肉类,羊里脊,100,100,103,20.5,1.6,1.6,,0.9,107,,5,0.52,,0.06,0.2,5.8,8,184,161,74.4,22,2.8,1.98,5.53,0.15,0.05
肉类,羊后腿肉,100,77,110,19.5,3.4,0.3,,1,83,,8,0.52,,0.05,0.19,5.8,8,184,161,74.4,22,2.8,1.98,5.53,0.15,0.05
肉类,羊肚,100,100,87,12.2,3.4,1.8,,0.9,124,,23,0.33,,0.03,0.17,1.8,38,133,101,66,16,1.4,2.61,9.68,0.1,0.6
肉类,羊肺,100,100,96,16.2,2.4,2.5,,1.2,319,,,1.43,,0.05,0.14,1.1,12,172,139,146.2,8,7.8,1.81,9.33,0.19,0.05
肉类,羊肝,100,100,134,17.9,3.6,7.4,,1.4,349,,20972,29.93,,0.21,1.75,22.1,8,299,241,123,14,7.5,3.45,17.68,4.51,0.26
肉类,羊肾,100,95,96,16.6,2.8,1,,1.4,289,,126,0.13,,0.35,2.01,8.4,8,233,115,193.3,18,5.8,2.74,58.9,0.32,0.1
肉类,羊心,100,100,113,13.8,5.5,2,,1,104,,16,1.75,,0.28,0.4,5.6,10,172,200,100.8,17,4,2.09,16.7,0.26,0.04
肉类,羊血,100,100,57,6.8,0.2,6.9,,1.1,92,,,,,0.04,0.09,0.2,22,7,6,443.4,2,18.3,0.67,15.68,0.02,0.01
,禽肉类,,,,,,,,,,,,,,,,,,,,,,,,,,
肉类,鸡（均值）,100,66,167,19.3,9.4,1.3,,1,106,,48,0.67,,0.05,0.09,5.6,9,156,251,63.3,19,1.4,1.09,11.75,0.07,0.03
肉类,鸡腿,100,69,181,16,13,,,0.8,162,,44,0.03,,0.02,0.14,6,6,172,242,64.4,34,1.5,1.12,12.4,0.09,0.03
肉类,鸡脯肉,100,100,133,19.4,5,2.5,,1.1,82,,16,0.22,,0.07,0.13,10.8,3,214,338,34.4,28,0.6,0.51,10.5,0.06,0.01
肉类,去皮鸡脯肉,100,100,118,24.6,1.9,0.6,,1.2,65,,3,0.41,,0.07,0.06,11.96,1,170,333,44.8,28,1,0.26,11.75,0.01,0.01
肉类,去皮鸡腿肉,100,74,146,20.2,7.2,,,0.9,99,,22,,,0.06,0.1,3.25,3,271,221,73.6,21,1.8,1.11,9.7,0.01,0.01
肉类,鸡心,100,100,172,15.9,11.8,0.6,,0.9,194,,910,,,0.46,0.26,11.5,54,176,220,108.4,11,4.7,1.94,4.1,0.27,0.04
肉类,鸡肫,100,100,118,19.2,2.8,4,,0.9,174,,36,0.87,,0.04,0.09,3.4,7,135,272,74.8,15,4.4,2.76,10.54,2.11,0.06
肉类,鸡肝,100,100,121,16.6,4.8,2.8,,1.4,356,,10414,1.88,,0.33,1.1,11.9,7,263,222,92,16,12,2.4,38.55,0.32,0.24
肉类,肉鸡鸡肝,100,100,121,16.7,4.5,3.5,,1.3,476,,2867,0.75,,0.32,0.58,,4,216,321,98.2,17,9.6,3.46,,0.35,0.07
肉类,鸡血,100,100,49,7.8,0.2,4.1,,0.9,170,,56,0.21,,0.05,0.04,0.1,10,68,136,208,4,25,0.45,12.13,0.03,0.03
肉类,鸭（均值）,100,68,240,15.5,19.7,0.2,,0.7,97,,52,0.27,,0.08,0.22,4.2,6,122,191,69,14,2.2,1.33,12.25,0.21,0.06
肉类,鸭脯肉,100,100,90,15,1.5,4,,0.9,121,,,1.98,,0.01,0.07,4.2,6,86,126,60.2,24,4.1,1.17,12.62,0.27,0.01
肉类,鸭心,100,100,143,12.8,8.9,2.9,,0.9,120,,24,0.81,,0.14,0.87,8,20,188,233,86.2,18,5,1.38,15.3,0.37,
肉类,鸭肫,100,93,92,17.9,1.3,2.1,,0.9,153,,6,0.21,,0.04,0.15,4.4,12,134,284,69.2,18,4.3,2.77,15.95,0.18,0.08
肉类,鸭胰,100,97,117,21.7,2.9,1,,1.8,230,,6,9,9,0.02,0.78,3.2,20,554,84,55.7,41,1.9,4.16,26.2,0.08,0.05
肉类,鸭肝,100,100,128,14.5,7.5,0.5,,1.2,341,,1040,1.41,18,0.26,1.05,6.9,18,283,230,87.2,18,23.1,3.08,57.27,1.31,0.28
肉类,鸭皮,100,100,538,6.5,50.2,15.1,,0.1,46,,21,,,0.01,0.04,1,6,42,38,26.2,,3.1,0.64,4.7,,
肉类,鸭肠,100,53,129,14.2,7.8,0.4,,0.6,187,,16,,,0.02,0.22,3.1,31,166,136,32,13,2.3,1.19,24.9,0.18,
肉类,白鸭鸭血,100,100,108,13.6,0.4,12.4,,1,95,,,0.34,,0.06,0.06,,5,87,166,173.6,8,30.5,0.5,,0.06,0.14
,蛋奶类,,,,,,,,,,,,,,,,,,,,,,,,,,
蛋奶类,酸奶,100,100,72,2.5,2.7,9.3,,0.8,15,,26,0.12,1,0.03,0.15,0.2,118,85,150,39.8,12,0.4,0.53,1.71,0.03,0.02
蛋奶类,奶酪,100,100,328,25.7,23.5,3.5,,3.8,11,,152,0.6,,0.06,0.91,0.6,799,326,75,584.6,57,2.4,6.97,1.5,0.13,0.16
蛋奶类,黄油,100,100,888,1.4,98,,,0.1,296,,,,,,0.02,,35,8,39,40.3,7,0.8,0.11,1.6,0.01,0.05
蛋奶类,白皮鸡蛋,100,87,138,12.7,9,1.5,,1,585,,310,1.23,,0.09,0.31,0.2,48,176,98,94.7,14,2,1,16.55,0.06,0.03
蛋奶类,红皮鸡蛋,100,87,143,12.2,10.5,,,0.8,,,,0.84,,0.05,0.11,,44,182,121,125.7,11,1,0.38,13.83,,0.01
蛋奶类,鸭蛋,100,87,180,12.6,13,3.1,,1,565,,261,4.98,,0.17,0.35,0.2,62,226,135,106,13,2.9,1.67,15.68,0.11,0.04
蛋奶类,鹌鹑蛋,100,86,160,12.8,11.1,2.1,,1,515,,337,3.08,,0.11,0.49,0.1,47,180,138,106.6,11,3.2,1.61,25.48,0.09,0.04
,鱼虾蟹贝类,,,,,,,,,,,,,,,,,,,,,,,,,,
肉类,银鱼,100,100,105,17.2,4,,,2.6,361,,,1.86,,0.03,0.05,0.2,46,22,246,8.6,25,0.9,0.16,9.54,,0.07
肉类,带鱼,100,76,127,17.7,4.9,3.1,,1,76,,29,0.82,,0.02,0.06,2.8,28,191,280,150.1,43,1.2,0.7,36.57,0.08,0.17
肉类,龙利鱼,100,68,83,17.7,1.4,,,1.2,82,,6,0.64,,0.03,0.05,2.1,57,168,309,138.8,27,1.5,0.05,34.63,0.04,0.04
肉类,鲈鱼,100,58,105,18.6,3.4,,,1.5,86,,19,0.75,,0.03,0.17,3.1,138,242,205,144.1,37,2,2.83,33.06,0.05,0.04
肉类,马鲛鱼,100,80,121,21.1,3.1,2.1,,1.1,75,,19,0.71,,0.03,0.04,2.1,35,130,370,74.2,50,0.8,1.39,51.81,0.37,0.03
肉类,鲑鱼,100,72,139,17.2,7.8,0,,0.9,68,,45,0.78,,0.07,0.18,4.4,13,154,361,63.3,36,0.3,1.11,29.47,0.03,0.02
肉类,鳕鱼,100,45,88,20.4,0.5,0.5,,1.2,114,,14,,,0.04,0.13,2.7,42,232,321,130.3,84,0.5,0.86,24.8,0.01,0.01
肉类,龙头鱼,100,67,100,16.7,2.3,3,,1.5,71,,11,0.07,,0.05,0.1,3.7,95,263,194,156.3,51,2.2,1.1,29.48,0.09,0.02
肉类,丁香鱼干,100,100,196,37.5,3.1,4.6,,18.5,379,,119,0.3,,0.01,0.17,2,590,914,664,4375,319,4.3,3.4,41.24,0.35,0.84
肉类,虾皮,100,42.2,153,30.7,2.2,2.5,,22.2,428,,19,0.92,,0.02,0.14,3.1,991,582,617,5057.7,265,6.7,1.93,74.43,1.08,0.82
肉类,虾米,100,100,198,43.7,2.6,,,17,525,,21,1.46,,0.01,0.12,5,555,666,550,4891.9,236,11,3.82,75.4,2.33,0.77
肉类,鲜贝,100,100,77,15.7,0.5,2.5,,1,116,,,1.46,,,0.21,2.5,28,166,226,120,31,0.7,2.08,57.35,,0.33
肉类,八爪鱼,100,78,135,18.9,0.4,14,,1.3,,,,0.16,,0.04,0.06,1.4,22,106,157,288.1,42,1.4,5.18,41.86,9,0.4
,油脂类,,,,,,,,,,,,,,,,,,,,,,,,,,
油脂类,黑芝麻,100,100,559,19.1,46.1,24,14,5.1,,,,50.4,,0.66,0.25,5.9,780,516,358,8.3,290,22.7,6.13,4.7,1.77,17.85
油脂类,牛油,100,100,835,,92,1.8,,,153,,54,,,,,,9,9,3,9.4,1,3,0.79,,0.01,
油脂类,羊油,100,100,824,,88,8,,,110,,33,1.08,,,,,,18,12,13.2,1,1,,,0.06,
油脂类,菜籽油,100,100,899,,99.9,,,,,,,60.89,,,,,9,9,2,7,3,3.7,0.54,,0.18,0.11
油脂类,豆油,100,100,899,,99.9,,,,,,,93.08,,,,,13,7,3,4.9,3,2,1.09,,0.16,0.43
油脂类,花生油,100,100,899,,99.9,,,0.1,,,,42.06,,,,,12,15,1,3.5,2,2.9,0.48,,0.15,0.33
油脂类,葵花籽油,100,100,899,,99.9,,,,,,,54.6,,,,,2,4,1,2.8,4,1,0.11,,,0.02
油脂类,玉米油,100,100,895,,99.2,0.5,,0.1,,,,50.94,,,,,1,18,2,1.4,3,1.4,0.26,,0.23,0.04
油脂类,芝麻油,100,100,898,,99.9,,,,,,,68.53,,,,,9,4,,1.1,3,2.2,0.17,,0.05,0.76
油脂类,橄榄油,100,100,899,,99.9,,,,,,,,,,,,,,,,,0.4,,,,
,调味品类,,,,,,,,,,,,,,,,,,,,,,,,,,
其他类,酱油,100,100,63,5.6,0.1,10.1,0.2,16.9,,,,,,0.05,0.13,1.7,66,204,337,5757,156,8.6,1.17,1.39,0.06,1.11
其他类,醋,100,100,31,2.1,0.3,4.9,,2.1,,,,,,0.03,0.05,1.4,17,96,351,262.1,13,6,1.25,2.43,0.04,2.97
其他类,酵母（干）,100,100,372,47.6,1.7,45.5,7.9,0.8,,,,,,6.56,3.35,45.2,106,1893,,,,18.2,,,,
,谷物,,,,,,,,,,,,,,,,,,,,,,,,,,
谷物淀粉薯类,小麦粉（标准粉）,100,100,349,11.2,1.5,73.6,2.1,1,,,,1.8,,0.28,0.08,2,31,188,190,3.1,50,3.5,1.64,5.36,0.42,1.56
谷物淀粉薯类,稻米（均值）,100,100,347,7.4,0.8,77.9,0.7,0.6,,,,0.46,,0.11,0.05,1.9,13,110,103,3.8,34,2.3,1.7,2.23,0.3,1.29
谷物淀粉薯类,黑米,100,100,341,9.4,2.5,72.2,3.9,1.6,,,,0.22,,0.33,0.13,7.9,12,356,256,7.1,147,1.6,3.8,3.2,0.15,1.72
谷物淀粉薯类,米饭（均值）,100,100,116,2.6,0.3,25.9,0.3,0.3,,,,,,0.02,0.03,1.9,7,62,30,2.5,15,1.3,0.92,0.4,0.06,0.58
谷物淀粉薯类,鲜玉米,100,46,112,4,1.2,22.8,2.9,0.7,,,,0.46,,0.16,0.11,1.8,,117,238,1.1,32,1.1,0.9,1.63,0.09,0.22
谷物淀粉薯类,大麦,100,100,327,10.2,1.4,73.3,9.9,2,,,,1.23,,0.43,0.14,3.9,66,381,49,,158,6.4,4.36,9.8,0.63,1.23
谷物淀粉薯类,小米,100,100,361,9,3.1,75.1,1.6,1.2,,17,,3.63,,0.33,0.1,1.5,41,229,284,4.3,107,5.1,1.87,4.74,0.54,0.89
谷物淀粉薯类,薏米,100,100,361,12.8,3.3,71.1,2,1.6,,,,2.08,,0.22,0.15,2,42,217,238,3.6,88,3.6,1.68,3.07,0.29,1.37
谷物淀粉薯类,燕麦片,100,100,368,12.4,7.4,67.3,8.6,1.6,,,,3.07,,0.3,0.13,1.2,186,291,214,3.7,177,7,2.59,4.31,0.45,3.36
,薯类、淀粉类,,,,,,,,,,,,,,,,,,,,,,,,,,
谷物淀粉薯类,白玉米面,100,100,353,8,4.5,73.1,6.2,1,,,,6.89,,0.34,0.06,3,12,187,276,0.5,111,1.3,1.22,1.58,0.23,0.4
谷物淀粉薯类,土豆,100,94,77,2,0.2,17.2,0.7,0.8,,5,,0.34,27,0.08,0.04,1.1,8,40,342,2.7,23,0.8,0.37,0.78,0.12,0.14
谷物淀粉薯类,红薯,100,90,102,1.1,0.2,24.7,1.6,0.6,,125,,0.28,26,0.04,0.04,0.6,23,39,130,28.5,12,0.5,0.15,0.48,0.18,0.11
谷物淀粉薯类,玉米淀粉,100,100,346,1.2,0.1,85,0.1,0.2,,,,,,0.03,0.04,1.1,18,25,8,6.3,6,4,0.09,0.7,0.07,0.05
谷物淀粉薯类,豌豆淀粉,100,100,342,0.6,,85,0.3,0.8,,,,,,0.01,,0.1,4,10,93,3.4,4,1.7,0.22,,0.03,0.29
,根菜类,,,,,,,,,,,,,,,,,,,,,,,,,,
蔬菜类,白萝卜,100,93.4,23,0.9,0.1,5,1,0.6,,3,,0.92,21,0.02,0.03,0.3,36,26,173,61.8,16,0.5,0.3,0.61,0.04,0.09
蔬菜类,胡萝卜,100,97,46,1.4,0.2,10.2,1.3,0.8,,688,,,16,0.04,0.04,0.2,32,16,193,25.1,7,0.5,0.14,2.8,0.03,0.07
蔬菜类,甜菜根,100,90,87,1,0.1,23.5,5.9,0.6,,,,1.85,8,0.05,0.04,0.2,56,18,254,20.8,38,0.9,0.31,0.29,0.15,0.86
,鲜豆类,,,,,,,,,,,,,,,,,,,,,,,,,,
蔬菜类,扁豆,100,91,41,2.7,0.2,8.2,2.1,0.6,,25,,0.24,13,0.04,0.07,0.9,38,54,178,3.8,34,1.9,0.72,0.94,0.12,0.34
蔬菜类,豆角,100,96,34,2.5,0.2,6.7,2.1,0.6,,33,,2.24,18,0.05,0.07,0.9,29,55,207,3.4,35,1.5,0.54,2.16,0.15,0.41
蔬菜类,荷兰豆,100,88,30,2.5,0.3,4.9,1.4,0.4,,80,,0.3,16,0.09,0.04,0.7,51,19,116,8.8,16,0.9,0.5,0.42,0.06,0.48
蔬菜类,毛豆,100,53,131,13.1,5,10.5,4,1.8,,22,,2.44,27,0.15,0.07,1.4,135,188,478,3.9,70,3.5,1.73,2.48,0.54,1.2
蔬菜类,四季豆,100,96,31,2,0.4,5.7,1.5,0.6,,35,,1.24,6,0.04,0.07,0.4,42,51,123,8.6,27,1.5,0.23,0.43,0.11,0.18
蔬菜类,豌豆,100,42,111,7.4,0.3,21.2,3,0.9,,37,,1.21,14,0.43,0.09,2.3,21,127,332,1.2,43,1.7,1.29,1.74,0.22,0.65
蔬菜类,豌豆尖,100,100,225,3.1,,53.9,1.3,0.9,,452,,0.22,11,0.07,0.23,,17,65,160,3.2,24,5.1,0.93,1.94,0.06,0.98
蔬菜类,芸豆,100,96,30,0.8,0.1,7.4,2.1,0.6,,40,,0.07,9,0.33,0.06,0.8,88,37,112,4,16,1,1.04,0.23,0.24,0.44
蔬菜类,豇豆,100,97,33,2.9,0.3,5.9,2.3,0.6,,42,,4.39,19,0.07,0.09,1.4,27,63,112,2.2,31,0.5,0.54,0.74,0.14,0.37
蔬菜类,黄豆芽,100,100,47,4.5,1.6,4.5,1.5,0.6,,5,,0.8,8,0.04,0.07,0.6,21,74,160,7.2,21,0.9,0.54,0.96,0.14,0.34
蔬菜类,豌豆苗,100,86,38,4,0.8,4.6,1.9,1,,445,,2.46,67,0.05,0.11,1.1,40,67,222,18.5,21,4.2,0.77,1.09,0.2,0.76
,茄果、瓜果类,,,,,,,,,,,,,,,,,,,,,,,,,,
蔬菜类,紫皮长茄子,100,96,23,1,0.1,5.4,1.9,0.4,,30,,0.2,7,0.03,0.03,0.6,55,28,136,6.4,15,0.4,0.16,0.57,0.07,0.14
蔬菜类,番茄,100,97,20,0.9,0.2,4,0.5,0.5,,92,,0.57,19,0.03,0.03,0.6,10,23,163,5,9,0.4,0.13,0.15,0.06,0.08
蔬菜类,甜椒,100,82,25,1,0.2,5.4,1.4,0.4,,57,,0.59,72,0.03,0.03,0.9,14,20,142,3.3,12,0.8,0.19,0.38,0.09,0.12
蔬菜类,葫子,100,85,29,0.7,0.1,6.8,0.9,0.2,,163,,1.14,29,0.01,0.06,0.7,49,27,73,1.2,10,,0.56,4.4,0.87,
蔬菜类,秋葵,100,88,45,2,0.1,11,3.9,0.7,,52,,1.03,4,0.05,0.09,1,45,65,95,3.9,29,0.1,0.23,0.51,0.07,0.28
蔬菜类,冬瓜,100,80,12,0.4,0.2,2.6,0.7,0.2,,13,,0.08,18,0.01,0.01,0.3,19,12,78,1.8,8,0.2,0.07,0.22,0.07,0.03
蔬菜类,佛手瓜,100,100,19,1.2,0.1,3.8,1.2,0.6,,3,,,8,0.01,0.1,0.1,17,18,76,1,10,0.1,0.08,1.45,0.02,0.03
蔬菜类,葫芦,100,87,16,0.7,0.1,3.5,0.8,0.4,,7,,,11,0.02,0.01,0.4,16,15,87,0.6,7,0.4,0.14,0.49,0.08,
蔬菜类,黄瓜,100,92,16,0.8,0.2,2.9,0.5,0.3,,15,,0.49,9,0.02,0.03,0.2,24,24,102,4.9,15,0.5,0.18,0.38,0.05,0.06
蔬菜类,南瓜,100,85,23,0.7,0.1,5.3,0.8,0.4,,148,,0.36,8,0.03,0.04,0.4,16,24,145,0.8,8,0.4,0.14,0.46,0.03,0.08
蔬菜类,丝瓜,100,83,21,1,0.2,4.2,0.6,0.3,,15,,0.22,5,0.02,0.04,0.4,14,29,115,2.6,11,0.4,0.21,0.86,0.06,0.06
蔬菜类,西葫芦,100,73,19,0.8,0.2,3.8,0.6,0.3,,5,,0.34,6,0.01,0.03,0.2,15,17,92,5,9,0.3,0.12,0.28,0.03,0.04
,嫩茎、叶、花菜类,,,,,,,,,,,,,,,,,,,,,,,,,,
蔬菜类,菜心,100,84,28,2.8,0.5,4,1.7,1.4,,160,,0.52,44,0.05,0.08,1.2,96,54,236,26,19,2.8,0.87,6.68,0.18,0.41
蔬菜类,紫菜薹,100,52,43,2.9,2.5,2.7,0.9,0.8,,13,,0.51,57,0.05,0.04,0.9,26,60,221,1.5,15,2.5,0.9,8.43,0.12,
蔬菜类,乌塌菜,100,89,28,2.6,0.4,4.2,1.4,1,,168,,1.16,45,0.06,0.11,1.1,186,53,154,115.5,24,3,0.7,0.5,0.13,0.36
蔬菜类,油菜,100,87,25,1.8,0.5,3.8,1.1,1,,103,,0.88,36,0.04,0.11,0.7,108,39,210,55.8,22,1.2,0.33,0.79,0.06,0.23
蔬菜类,甘蓝,100,86,24,1.5,0.2,4.6,1,0.5,,12,,0.5,40,0.03,0.03,0.4,49,26,124,27.2,12,0.6,0.25,0.96,0.04,0.18
蔬菜类,花椰菜,100,82,26,2.1,0.2,4.6,1.2,0.7,,5,,0.43,61,0.03,0.08,0.6,23,47,200,31.6,18,1.1,0.38,0.73,0.05,0.17
蔬菜类,西兰花,100,83,36,4.1,0.6,4.3,1.6,0.7,,1202,,0.91,51,0.09,0.13,0.9,67,72,17,18.8,17,1,0.78,0.7,0.03,0.24
蔬菜类,芥蓝,100,78,22,2.8,0.4,2.6,1.6,1,,575,,0.96,76,0.02,0.09,1,128,50,104,50.5,18,2,1.3,0.88,0.11,0.53
蔬菜类,菠菜,100,89,28,2.6,0.3,4.5,1.7,1.4,,487,,1.74,32,0.04,0.11,0.6,66,47,311,85.2,58,2.9,0.85,0.97,0.1,0.66
蔬菜类,芹菜,100,66,17,0.8,0.1,3.9,1.4,1,,10,,2.21,12,0.01,0.08,0.4,48,50,154,73.8,10,0.8,0.46,0.47,0.09,0.17
蔬菜类,芹菜茎,100,67,22,1.2,0.2,4.5,1.2,1,,57,,1.32,8,0.02,0.06,0.4,80,38,206,159,18,1.2,0.24,0.57,0.09,0.16
蔬菜类,芹菜叶,100,100,35,2.6,0.6,5.9,2.2,1.5,,488,,2.5,22,0.08,0.15,0.9,40,64,137,83,58,0.6,1.14,2,0.99,0.54
蔬菜类,油麦菜,100,81,16,1.4,0.4,2.1,0.6,0.4,,60,,,20,,0.1,0.2,70,31,100,80,29,1.2,0.43,1.55,0.08,0.15
蔬菜类,生菜,100,94,15,1.3,0.3,2,0.7,0.6,,298,,1.02,13,0.03,0.06,0.4,34,27,170,32.8,18,0.9,0.27,1.15,0.03,0.13
蔬菜类,绿苋菜,100,74,30,2.8,0.3,5,2.2,1.7,,352,,0.36,47,0.03,0.12,0.8,187,59,207,32.4,119,5.4,0.8,0.52,0.13,0.78
蔬菜类,紫苋菜,100,73,35,2.8,0.4,5.9,1.8,2.1,,248,,1.54,30,0.03,0.1,0.6,178,63,340,42.3,38,2.9,0.7,0.09,0.07,0.35
蔬菜类,茼蒿,100,82,24,1.9,0.3,3.9,1.2,0.9,,252,,0.92,18,0.04,0.09,0.6,73,36,220,161.3,20,2.5,0.35,0.6,0.06,0.28
蔬菜类,莴笋,100,62,15,1,0.1,2.8,0.6,0.6,,25,,0.19,4,0.02,0.02,0.5,23,48,212,36.5,19,0.9,0.33,0.54,0.07,0.19
蔬菜类,莴笋叶,100,89,20,1.4,0.2,3.6,1,0.6,,147,,0.58,13,0.06,0.1,0.4,34,26,148,39.1,19,1.5,0.51,0.78,0.09,0.26
蔬菜类,空心菜,100,76,23,2.2,0.3,3.6,1.4,1,,253,,1.09,25,0.03,0.08,0.8,99,38,243,94.3,29,2.3,0.39,1.2,0.1,0.67
蔬菜类,竹笋,100,63,23,2.6,0.2,3.6,1.8,0.8,,,,0.05,5,0.08,0.08,0.6,9,64,389,0.4,1,0.5,0.33,0.04,0.09,1.14
蔬菜类,春笋,100,66,25,2.4,0.1,5.1,2.8,1,,5,,,5,0.05,0.04,0.4,8,36,300,6,8,2.4,0.43,0.66,0.15,0.78
蔬菜类,冬笋,100,39,42,4.1,0.1,6.5,0.8,1.2,,13,,,1,0.08,0.08,0.6,22,56,,,,0.1,,,,
蔬菜类,芦笋,100,90,22,1.4,0.1,4.9,1.9,0.6,,17,,,45,0.04,0.05,0.7,10,42,213,3.1,10,1.4,0.41,0.21,0.07,0.17
,水生蔬菜类,,,,,,,,,,,,,,,,,,,,,,,,,,
蔬菜类,菱角,100,57,101,4.5,0.1,21.4,1.7,1,,2,,,13,0.19,0.06,1.5,7,93,437,5.8,49,0.6,0.62,,0.18,0.38
